word,start,end,mean_pitch,max_pitch,min_pitch
 today,46.96,47.56,221.7944528289967,245.70647952293075,190.63064799550844
 signed,47.56,49.7,151.45163534354,223.30364465658332,84.51833233231699
 the,49.7,50.58,221.03994310717533,230.17670612178688,206.376675360344
 Emancipation,50.58,51.98,222.9457373005845,240.03098145804944,177.4163742797491
 Proclamation.,51.98,52.74,218.548816602502,247.56998484566859,194.3283070376933
 This,54.28000000000001,55.52,110.29848911723955,128.97044462064932,94.60344426668932
 momentous,55.52,56.26,220.76623375706717,235.74258050398726,192.76617832560612
 decree,56.26,56.54,224.92268569274214,232.78103905285428,213.40195979897587
 came,56.54,57.12,239.04465630519564,248.44845948725302,217.48116150416038
 as,57.12,59.44,231.06191477362512,250.94519741708731,152.69524153056594
 a,59.44,59.66,207.41987240876497,213.12921984456688,198.90358920104757
 great,59.66,59.86,215.57976823539485,236.22947366156632,201.72075644542517
 victory,59.86,59.98,234.0180231359815,238.003342903952,230.9237376977306
 for,59.98,59.98,,,
 the,59.98,59.98,,,
 people,59.98,59.98,,,
 of,59.98,59.98,,,
 America.,59.98,59.98,,,
 It,60.0,60.2,234.2616339931427,237.18280242970673,233.13494556771727
 had,60.2,60.2,,,
 become,60.2,60.2,,,
 light,60.2,60.6,233.56028387608453,251.46930740782835,219.78266181161342
 of,60.6,60.84,228.75062179338394,237.48221548767611,215.13873387591974
 hope,60.84,61.08,235.33445531169247,246.38810627120205,223.07424615905572
 to,61.08,61.38,239.8008217748363,472.1683060631295,218.23039898482838
 millions,61.38,61.76,247.63233211845335,468.4580274336059,203.62382142820624
 of,61.76,62.38,238.16772852410966,248.73738049104344,218.6571616427194
 Negro,62.38,62.68,236.97448205314188,473.9432356115923,163.69863004487613
 slaves,62.68,63.08,296.61696723044184,471.8761741227794,218.19487262806194
 who,64.13999999999999,65.1,222.8662848474029,239.07722660033176,201.78083890501946
 had,65.1,65.38,213.87501421340764,223.77207964439785,175.76302585761104
 been,65.38,65.68,218.76182270911195,228.54176683056482,209.88779632465298
 seared,65.68,66.22,230.91142343923252,254.46746648881643,210.7160310444514
 in,66.22,66.54,214.40800159955617,226.68187863204344,204.14615086196085
 the,66.54,66.68,213.89107254483613,217.75978330403376,211.65025193576847
 flames,66.68,67.16,264.17341743035155,424.774291752573,203.75493834814398
 of,67.16,67.7,220.45236770808887,239.75915358612733,193.28204272369763
 withering,67.7,68.32,224.8801726755908,251.41577193874107,179.0841017019209
 injustice.,68.32,68.8,257.2856981057342,512.5547022939899,204.40682953298236
 It,70.52000000000001,71.48,,,
 came,71.48,71.8,180.135437131534,233.15590761008275,131.32378707434157
 as,71.8,72.2,226.42328420378777,232.8876651651368,222.60904856698426
 a,72.2,72.34,221.02935205734667,230.15990190329276,210.62918514036215
 joyous,72.34,72.9,231.9264959983718,244.22435267167617,206.53319996949247
 daybreak,72.9,73.46,238.07048279015572,257.61207065598,207.33659041382776
 to,74.96000000000001,75.92,,,
 end,75.92,76.26,216.54562112738972,241.86986252067595,168.36213126776877
 the,76.26,76.6,239.49988996933604,241.7965428192162,232.3685428517802
 long,76.6,76.9,235.514642373579,247.97936896757207,219.7466060508726
 night,76.9,77.52,238.7675327069192,249.57642508041158,221.90571611572486
 of,77.52,78.12,234.21428298081483,337.5940791115608,197.07957466852255
 their,78.12,78.34,220.32949176769162,236.53147647121406,200.0093562481506
 captivity.,78.34,79.08,235.0911294600038,421.351989354265,213.9707114054825
 But,81.0,81.96,,,
 100,81.96,82.46,214.33940508618568,234.2875857693225,160.89715014951796
 years,82.46,83.26,224.70959235624423,248.26528275242703,160.31630413873776
" later,",83.26,84.0,240.56070469967474,252.1137601081639,195.32590752934172
 the,85.85999999999999,86.82,193.6553694300151,235.8404279598585,103.19310319123483
 Negro,86.82,87.38,222.87428796400272,255.93221891858408,117.06953854192209
 still,87.38,88.16,229.10230204419042,244.38163208303726,218.87722515065937
 is,88.16,89.78,225.44338451824524,250.59010477196202,123.6455940682173
 not,89.78,89.98,212.0570270357942,221.74668638950607,197.69638046201752
 alone.,89.98,89.98,,,
 The,90.0,90.26,218.74208344500886,221.48704560944688,214.49888569717405
 Negro,90.26,90.26,,,
 is,90.26,90.26,,,
 not,90.26,90.26,,,
 free.,90.26,90.3,220.08313804997204,220.38290471132495,219.61405177590365
 100,92.16,92.96,192.4148972208939,234.58821745721116,126.98929780286403
 years,92.96,93.4,234.41017038921638,246.79771537496543,211.44997263775852
" later,",93.4,93.92,246.5300749704755,268.502042591032,198.16082668239105
 the,95.66,96.46,102.04468628347317,114.21324271374345,84.54503032206532
 life,96.46,96.82,242.14070839743363,260.3126741512622,178.60867597434148
 of,96.82,96.96,253.10117119748864,257.2748257458833,245.0696164897343
 the,96.96,97.06,250.44315846521417,258.20523852027577,242.41846357105229
 Negro,97.06,97.38,250.8220034967409,263.71290324355937,221.9476590260345
 is,97.38,97.74,249.2842290399709,257.7270645181907,230.17172073369497
 still,97.74,98.06,247.60235590246378,260.18328259141816,232.98526485220117
 sadly,98.06,98.96,250.67198433370427,468.7373218485319,227.30688075125641
 crippled,98.96,99.92,271.4031971655687,513.0144698651054,204.31625626051226
 by,99.92,100.16,204.92359895779828,216.41122737733815,200.39089964583943
 the,100.16,100.48,227.84692462861702,234.8630469063788,215.69874306744362
 manacles,100.48,100.94,236.48778982872795,255.22921998644682,215.12715597126376
 of,100.94,101.42,275.82105098390673,462.6362593591132,222.48715492332596
 segregation,101.42,101.9,237.07429158590318,255.28658050655397,209.07632635303426
 and,103.04,103.84,346.5174662955183,351.8058264002404,339.33766315345406
 the,103.84,104.1,229.1693034620432,346.48982954644356,198.03233354636978
 chains,104.1,104.54,249.16104807917034,265.5523975528736,225.4944830837537
 of,104.54,105.08,256.48619819801655,269.4452349265999,233.86658593072522
 discrimination.,105.08,105.6,244.61169557882675,262.8396792778966,225.5918364659625
 100,106.86000000000001,107.26,217.89768060842755,247.7005159229648,118.42076230246245
 years,107.26,107.72,237.35592086459442,249.4739826462754,208.42672813968517
" later,",107.72,108.26,258.0129208235843,475.78806361106734,211.96789177457978
 the,109.84,110.24,,,
 Negro,110.24,110.64,189.82370301273974,237.22535941472574,106.48150502184535
 lives,110.64,111.0,236.7648790416501,245.7807875068849,228.37618212797716
 on,111.0,111.4,243.26499349769983,250.52737656230698,234.12691362541824
 a,111.4,111.62,246.44094894366162,253.92162658242452,242.35394001643598
 lonely,111.62,111.96,247.37120158510874,257.3926127599015,231.21861800349797
 island,111.96,112.48,251.11135217722463,261.3782985429266,242.49266590115644
 of,112.48,112.88,247.27120565237817,257.6118166144586,238.84156949822778
 poverty,112.88,113.3,226.77743200904632,258.41776382827004,176.0626266720622
 in,114.46000000000001,115.26,,,
 the,115.26,115.48,222.44661609897923,228.5902873521108,201.04812812207246
 midst,115.48,115.84,234.62262758443143,251.1682935066558,216.76986704378453
 of,115.84,116.18,376.40150810994317,533.1738363325359,228.6315763472013
 a,116.18,116.3,240.06679293238665,248.26472601668084,232.72018159319933
 vast,116.3,116.58,250.0480892314717,266.9680791396586,236.7973380575427
 ocean,116.58,117.14,260.95228676862337,274.342185369766,243.55685016634072
 of,117.14,117.64,282.60327709497847,570.8058153017774,217.902948850898
 material,117.64,118.02,227.84653827676502,259.46300007625814,215.68416001293284
 prosperity.,118.02,118.82,241.97717252905142,264.19876429196455,227.2906301999247
 100,120.0,120.12,257.01818448119917,269.32182808133734,233.41590118949094
 years,120.12,120.56,264.9117385529577,286.03693059652915,223.12834930020807
" later,",120.56,121.06,268.6863161103482,392.6317792503832,210.39315088866198
 the,125.38,126.14,,,
 Negro,126.14,126.6,212.9822406964403,250.15776443570834,147.0972721246037
 is,126.6,126.92,243.74308793625923,252.6896399802824,236.2209267354799
 still,126.92,127.24,237.83732159399634,258.8081634613439,223.56834128778434
 languished,127.24,128.1,244.2820227794615,261.2144338742353,193.17469220776894
 in,128.1,128.48,398.94111949653245,464.018798786856,209.21094033363752
 the,128.48,128.66,243.35354607391167,246.06266608268723,232.4678104365136
 corners,128.66,129.18,251.989379183224,271.70287340776764,227.6222239372392
 of,129.18,129.52,238.26118166633245,257.3198838937903,220.9046044075
 American,129.52,129.8,230.91646434733335,240.85689014827435,223.2268617502771
 society,129.8,130.62,219.93728613993892,240.37562360519834,201.80677907981757
 and,131.4,132.16,,,
 finds,132.16,132.52,145.08625750287274,247.8303520586629,100.24828224425717
 himself,132.52,133.2,236.77359616765796,247.76417299361472,220.45461389969736
 in,133.2,133.78,237.54296283782196,252.69307253661484,223.3542468571304
 exile,133.78,134.16,361.81721949207264,512.5664317169708,222.45475685201953
 in,134.16,134.72,214.77307886901391,234.02174437660838,191.92128404302582
 his,134.72,134.88,227.368543419017,234.40364839964676,218.3349804718174
 own,134.88,135.14,234.53288680586326,243.95602978557923,218.98203116712895
 land.,135.14,135.56,230.23145654700707,247.85267798340936,188.78060635031392
 And,136.34,137.1,214.84540813052558,244.877799441564,181.7874914836239
 so,137.1,137.28,117.66209721277295,122.3762515936975,108.85209494489602
 we've,137.28,137.64,242.38596934856733,250.37010057034158,232.0709443877411
 come,137.64,137.9,248.30705335796046,269.68212822265014,239.98775856302623
 here,137.9,138.12,240.30753023050775,265.35297949476706,214.77721980714847
 today,138.12,138.48,231.92895812930615,243.42157884535254,215.19732085616522
 to,140.00000000000003,140.76000000000002,206.82186081600193,250.45305466964362,124.87968230333489
 dramatize,140.76000000000002,141.52,236.33506196453547,248.4808777731776,216.77393446651624
 a,141.52,141.68,228.50363671012963,233.4288991118944,217.7696582910269
 shameful,141.68,142.24,241.58435222629083,250.9874096774448,210.2012686341264
 condition.,142.24,142.94,224.81355618796152,245.81934403246925,200.18823106242385
 In,144.5,144.88,,,
 a,144.88,145.04,279.65884650804264,286.5434278367214,261.0104915869121
" sense,",145.04,145.28,285.0239804986016,299.5101017944579,275.29327496153576
 we've,145.34,145.66,278.39924417071234,290.4945458968202,243.0069554979776
 come,145.66,145.92,274.6030968516966,280.4500147677553,253.03017559468861
 to,145.92,146.16,268.08699621970857,273.54461588712354,261.7186486766228
 our,146.16,146.34,258.12566889451455,264.4131540123643,223.53401694607678
 nation's,146.34,147.02,257.1037083849075,268.2709253256129,243.40591340236077
 capital,147.02,147.3,256.9334554531614,265.3707547612081,246.87406750355134
 to,147.3,147.92,244.9722218638658,261.9600611511797,233.43998706058454
 cash,147.92,148.36,242.82440114992656,258.7357472954044,224.6094197650478
 a,148.36,148.8,242.045492576379,263.3880813175705,207.56783922191164
 check.,148.8,149.14,219.53458374615118,241.41029619662868,176.27298406621844
 to,149.22,149.98,501.3058970165829,588.3814749858185,225.02057003449968
 cash,149.98,149.98,,,
 a,149.98,149.98,,,
 check.,149.98,149.98,,,
 To,149.98,151.46,,,
 cash,151.46,151.46,,,
 a,151.46,151.46,,,
 check.,151.46,151.46,,,
 When,151.46,151.46,,,
 the,151.46,151.68,212.41540593081555,219.91303307788405,193.2472248214504
 architects,151.68,152.12,235.72608155763837,246.11159797419927,215.2923769966072
 of,152.12,152.56,235.94132892251167,244.32515440221474,210.503710505199
 our,152.56,152.82,232.24737445101735,237.9471237415126,221.2870723728907
 republic,152.82,153.42,234.82333301431032,252.09353598101913,222.78580775109538
 wrote,154.65999999999997,155.42,101.61144657866853,102.99950659673242,100.22338656060465
 the,155.42,155.78,223.9368527269012,255.19379076567776,105.89123766295975
 magnificent,155.78,156.16,258.6933184356978,272.5435577625817,247.15454401261462
 words,156.16,156.8,230.70797690181033,270.3268847434309,97.91966295364973
 of,156.8,157.3,249.96936194982422,262.394742286921,220.94705897400067
 the,157.3,157.5,246.18310751846147,256.55244531884085,235.86085888466891
 Constitution,157.5,158.18,245.78899762222537,262.251220707416,231.5989688536083
 and,158.18,158.72,239.00792874092144,268.65201495365284,225.1996361346046
 the,158.72,158.9,229.40621098461628,236.11069991238128,221.20298165154028
 Declaration,158.9,159.36,241.0641327306518,255.6260216286987,223.6528812807118
 of,159.36,159.78,249.01954192320616,261.2422875247421,231.50448532491737
" Independence,",159.78,160.18,242.931116033831,252.34346944952216,224.621134319301
 they,161.64,162.4,,,
 were,162.4,162.7,258.6270601017514,578.2529710336134,217.02633053619707
 signing,162.7,163.08,218.45567858860647,247.19668857363203,116.63875667601151
 a,163.08,163.74,255.8985557727397,486.8484941994469,211.80324094455557
 promissory,163.74,164.54,239.42185953843565,261.3422637732139,217.112596853861
 note,164.54,164.88,211.04529146725488,230.67919577057256,196.25294389180706
 to,165.74,166.5,,,
 which,166.5,166.7,227.3108567588296,250.729794669934,201.37546132019224
 every,166.7,166.98,258.9620530669145,273.13857870037117,244.71630160162925
 American,166.98,167.54,262.96719643999165,275.92391228468966,246.9403093688843
 was,167.54,167.94,236.0955713597391,257.76415746422066,213.31311420677244
 to,167.94,168.26,246.56773576337704,250.74814249479306,234.53140106511506
 fall,168.26,168.56,247.1785376154532,256.70401815764694,229.44817316723044
 heir.,168.56,168.94,236.6963983489871,252.3968975851139,207.76819497460005
 This,170.38,171.14,147.31083353419288,200.3907583976265,112.0387606138584
 note,171.14,171.54,233.0536488066654,243.6910320882376,216.836008671181
 was,171.54,171.8,236.43537570936985,243.69180030417826,220.23903306602745
 a,171.8,172.0,232.69852798796248,241.3117056344339,206.06003742822773
 promise,172.0,172.4,244.5749360217741,260.185768555453,230.00431871358117
 that,172.4,172.6,248.5387288610593,253.83538350659845,244.88413906813815
 all,172.6,172.86,251.34269485627857,260.95631976873074,234.43334828347264
" men,",172.86,173.34,233.79383351793777,257.47310051503274,204.14385434359465
" yes,",174.7,175.45999999999998,200.50989862546734,244.60796000932973,113.51155698079435
 black,175.45999999999998,176.22,242.55914732756892,251.9853354679435,233.46321826031237
 men,176.22,176.62,251.37287680013287,261.8183373960489,236.25350404039105
 as,176.62,176.92,237.86690902215335,248.0188007178938,222.14399653204552
 well,176.92,177.1,233.62423074273755,252.81308146809644,211.0462318793205
 as,177.1,177.34,229.76458307619768,250.171471114639,201.8697737509363
 white,177.34,177.52,320.72347082500227,462.2604023169325,217.97392703170536
" men,",177.52,177.9,249.72696270852825,395.7691691908122,145.4111804742525
 would,178.68,179.44,263.4982532668625,366.81755522829286,224.64303818590992
 be,179.44,179.64,234.2879344015043,271.175448595978,190.99386111447978
 gathered,179.64,179.96,275.4064702269306,280.19186876672956,269.45147852120675
 together,179.96,179.96,,,
 in,179.96,179.96,,,
 the,179.96,179.96,,,
 same,179.96,179.96,,,
 place.,179.96,179.96,,,
 would,179.96,180.48,274.28596891695594,284.72089146105145,266.32804139193684
 be,180.48,180.48,,,
 gathered,180.48,180.48,,,
 together,180.48,180.48,,,
 in,180.48,180.48,,,
 the,180.48,180.48,,,
 same,180.48,180.48,,,
 place.,180.48,180.48,,,
 the,180.48,180.48,,,
 United,180.48,180.48,,,
 States,180.48,180.48,,,
 guaranteed,180.48,180.48,,,
 the,180.48,180.82,268.5180003533532,272.5508931927822,257.5444949003751
 unalienable,180.82,181.62,264.6984663748564,275.9272111311375,253.9926179253456
 rights,181.62,182.18,250.7817603264911,260.5879337096126,211.14196041236752
 of,182.18,182.62,243.12278017234985,257.68116051453944,223.865831004628
" life,",182.62,182.98,235.0353159171936,256.6512798243509,193.53490071521807
" liberty,",183.06,183.5,242.63669287454604,263.79717970359013,214.32336216999983
 and,184.6,185.04,265.2913007832562,351.1817252838721,176.24872749132737
 the,185.04,185.28,235.09339247378898,243.58075533026656,223.24010808642987
 pursuit,185.28,185.66,237.77772873039143,244.65455272452934,226.61610528911822
 of,185.66,185.98,251.29725469887597,277.2147506617361,216.87580207593052
 happiness.,185.98,186.32,206.8105380737002,243.52847995470725,163.03499990830565
 and,187.54,188.42,,,
 the,188.42,188.42,,,
 pursuit,188.42,188.42,,,
 of,188.42,188.42,,,
 happiness.,188.42,188.42,,,
 It,188.42,188.42,,,
 is,188.42,188.6,222.61826700224444,233.0745157062431,200.57617728339952
 obvious,188.6,188.98,238.83987234979872,252.341876499706,222.15797833971004
 today,188.98,189.48,222.47117755777083,378.3470203536716,147.45407233459042
 that,190.5,191.38,,,
 America,191.38,191.9,232.01731278705194,254.48756061296774,172.5504130737866
 has,191.9,192.4,241.37532821608428,256.02368244604605,196.49703627130438
 defaulted,192.4,193.34,243.47809692264258,280.60759554561395,214.76792734386103
 on,193.34,193.42,222.2894186061291,227.78990828558042,213.82283529441827
 this,193.42,193.68,220.43218134866808,223.66224439560855,216.69800033696038
 promissory,193.68,194.3,227.70230014450985,241.26387000744916,213.6081727996633
 note,194.3,194.64,235.38786783620748,245.47155953040084,229.44498594578886
 insofar,194.64,195.9,243.19368692514055,252.88379236503522,221.86466944728642
 as,195.9,196.4,247.29684324545454,261.6881724978976,220.57009066120582
 her,196.4,196.66,241.99327896131283,247.4983310626056,228.99877748671898
 citizens,196.66,197.24,250.79242016665336,274.60145668323423,233.92433151117197
 of,197.24,197.82,240.9681684879078,253.95109909782954,224.01745331330827
 color,197.82,198.36,236.35931890815945,260.4084819333644,225.0194007013468
 are,198.36,198.68,228.45884114810863,246.14722010382312,200.2392309419639
 concerned.,198.68,199.22,235.24907635707098,243.98627009888799,211.8333307577116
 Instead,200.22,201.1,230.80431321054388,235.7567649069918,221.6080775020499
 of,201.1,201.68,239.0896751114165,247.0953183152828,225.26943720954824
 honoring,201.68,202.22,233.04136946668717,260.6233614199935,118.57507877320778
 this,202.22,203.0,213.1498311799581,243.28680114025678,175.5826813374717
 sacred,203.0,203.42,231.7288831372903,239.96965353789528,217.7105705452738
" obligation,",203.42,204.08,230.844898317454,239.33861966070313,219.00022236520218
 America,205.70000000000002,206.58,190.27819907295515,266.5508077491192,77.1342006937812
 has,206.58,207.08,262.0953387184846,269.61883884480346,245.54709988747518
 given,207.08,207.42,260.2274008370258,272.8721332261237,246.21422869842354
 the,207.42,207.68,251.25792491200602,266.9481738918874,239.40287919888183
 Negro,207.68,208.0,247.90856120333078,272.1132582224881,235.68491030063007
 people,208.0,208.44,256.87861954481235,275.34438619322077,232.17921494142766
 a,208.44,208.82,231.98535273100563,265.17147160212426,214.34892159403688
 bad,208.82,209.1,226.46178207143714,252.15447062664933,173.62152233871467
 check.,209.1,209.58,228.51674144928083,247.62582215649144,164.64260489410117
 A,209.58,210.52,311.3213727260712,596.8873628375247,122.2393275743942
 check,210.52,210.94,165.99159319947154,258.38771467640004,120.79887222448134
 which,210.94,211.18,246.79033181825037,260.6444524478746,239.81441089136163
 has,211.18,211.4,252.2327184281818,259.3718033582926,240.82749954359343
 come,211.4,211.66,253.0996868142346,272.8676207066055,230.31652126774944
 back,211.66,212.0,256.3614588550768,263.33211846139517,246.45197131489036
 marked,212.0,212.42,249.76691087474063,271.6306984535966,155.117257125383
 insufficient,212.42,213.02,270.97146411491485,287.37938767810573,256.8569979141259
 funds.,213.02,213.76,264.07393221335445,287.6278845597395,222.03428354868663
 But,225.65999999999997,226.45999999999998,,,
 we,226.45999999999998,227.26,275.0450076614401,329.53760881744336,232.34947555122466
 refuse,227.26,227.62,304.1305414783336,310.5180525415586,295.7707568423483
 to,227.62,228.28,262.68219208622304,306.3280746925883,92.87669780359518
 believe,228.28,228.58,276.9784205294466,286.2378724455199,265.88150676742555
 that,228.58,229.0,264.3852595310112,283.949922796653,227.03263600142463
 the,229.0,229.22,261.11258780935253,267.49270693759377,256.3842094880527
 bank,229.22,229.52,258.5876658707699,273.1920846734418,243.3212921049691
 of,229.52,229.72,260.6346380780352,281.1936146488999,214.50691637282478
 justice,229.72,230.14,322.2242067027747,510.92170415791117,234.7376508402866
 is,230.14,230.5,252.97501224458912,272.75340762615986,229.10543338490868
 bankrupt.,230.5,230.86,255.43298248186616,263.4083913220911,239.75596470157222
 bankrupt.,231.36,232.0,324.7911781243703,352.86404546018576,250.89058601580402
 We,234.38,234.78,,,
 refuse,234.78,235.28,272.5599002670206,378.9819086450618,233.61137278658907
 to,235.28,235.8,273.1445996029654,293.66888045307246,244.28653181604247
 believe,235.8,236.08,265.83453741401917,275.8754668205323,255.53800018804017
 that,236.08,236.48,274.12981067757806,281.34063774656533,263.3810111499981
 there,236.48,236.68,270.4926346288749,278.834697896252,263.32022369755884
 are,236.68,236.9,276.2371561133842,282.0099748817081,258.1536258459163
 insufficient,236.9,237.34,282.6386327250468,292.1124114976809,271.1802168906014
 funds,237.34,237.74,286.18080875044393,306.71368935476943,269.36183829149627
 in,238.12,238.5,257.03060198764217,268.39894035054,238.83283711852886
 the,238.5,238.62,258.696450418856,269.1723108208499,250.35733447773833
 great,238.62,238.88,269.1222574133845,275.05959517020824,256.5812097722869
 vaults,238.88,239.54,273.5392896540123,289.1160345223772,248.35131623248216
 of,239.54,239.54,,,
 God's,239.54,239.56,,,
" kingdom,",239.56,239.56,,,
 of,239.56,239.66,265.17293609147896,271.4308592725594,255.21775325403092
 opportunity,239.66,240.14,268.9485752164866,290.9612439024764,249.04851351269372
 of,240.14,240.58,260.9917543100683,289.2330626085177,238.0570770304829
 this,240.58,240.74,237.9154345771649,242.6958769332817,224.0895276391323
 nation.,240.74,241.14,299.81524583971986,466.48534890379915,203.09353122023052
 And,241.34,241.82,237.15017607432304,251.57466900571634,219.03300639966352
 so,241.82,242.02,,,
 we've,242.02,242.34,260.0414062918079,267.1019267500906,246.86386449468867
 come,242.34,242.62,265.3965709241769,282.20041205563615,253.7955781302841
 to,242.62,242.84,274.5311955938667,285.0416307659402,261.18779074204207
 cash,242.84,243.14,271.4861117645145,281.6143508391879,261.8469210169846
 this,243.14,243.46,269.70355052988083,279.8915763113853,249.66804259740712
" check,",243.46,243.84,223.87586121591278,254.74577014700589,161.98742434389885
 a,243.98,244.5,469.5530202346393,529.669398708522,252.37515458885136
 check,244.5,244.78,267.5666220532339,365.7656821296322,217.03042029906368
 that,244.78,245.06,282.42306400738596,290.7250068351056,271.36420078742697
 will,245.06,245.28,266.661043915518,281.172555322163,237.6101750009057
 give,245.28,245.58,280.9346108342864,300.1009503905866,265.11431413996615
 us,245.58,245.8,296.07305270273787,300.7763700321943,287.0127979629221
 upon,245.8,246.14,412.73087271433803,593.6652610551179,262.7825816725013
 demand,246.14,246.6,293.78375845019417,575.9187048180826,268.6259888914648
 the,246.6,247.12,260.4748052681875,281.01876232462143,237.16601697194923
 riches,247.12,247.54,261.04260499501424,313.34324751325755,233.18413520721694
 of,247.54,247.86,267.38360182160454,285.5404016981104,241.85318410645894
 freedom,247.86,248.24,262.06153832050677,307.3170352766436,227.6092922913852
 and,248.24,249.04,216.47416421981592,328.351095726042,117.17950084517662
 the,249.04,249.26,246.56336542776478,254.84796684291192,217.96253160784343
 security,249.26,249.7,256.3161505697999,264.44285011668586,243.1657932421796
 of,249.7,250.18,268.8441679542869,296.1514486699858,243.392005068023
 justice.,250.18,250.6,254.34373757445186,332.7537410996517,230.253183783294
 Yes!,250.98,251.14,385.55182074952785,407.6035985213934,324.13997038820276
 We,259.88000000000005,260.52000000000004,,,
 have,260.52000000000004,261.16,251.67676470475098,383.1594052463167,208.58824112940658
 also,261.16,261.68,246.1018342310871,256.79881056063334,233.09258953781327
 come,261.68,262.2,240.9791449418176,249.68606072105774,211.4935135464722
 to,262.2,262.52,247.10949593136522,251.92065392619367,236.6524376876245
 this,262.52,262.72,257.45599982792584,261.09095097063556,244.2360939250516
 hallowed,262.72,263.14,254.9003545532574,265.25760857576415,233.93293150334353
 spot,263.14,263.4,256.96422475306014,260.86867719716946,248.96209631782685
 to,264.65999999999997,265.38,,,
 remind,265.38,266.1,222.96448482477103,234.7349160544949,186.89032914868204
 America,266.1,266.98,243.8259305869936,261.636045578222,222.94160740411644
 of,266.98,267.52,242.39880230076324,259.7682728738114,220.41541662516786
 the,267.52,267.7,233.72095421882082,237.05342046225203,223.3875224006271
 fierce,267.7,268.06,246.49394632926763,275.487189259022,221.93035876452345
 urgency,268.06,268.74,248.1561553846704,265.2337123633562,202.57391092900943
 of,268.74,269.2,237.56105741721828,258.67436721490174,217.18729503483846
 now.,269.2,269.48,219.43732282943117,226.33752135794217,195.91033100945313
 This,271.3,272.02,254.78261405729558,261.2620249760544,241.58345809796052
